sensor.tado_smart_radiator_thermostat_va4240970496_current_temperature | tado Smart Radiator Thermostat VA4240970496 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va4240970496_temperature_display_units | tado Smart Radiator Thermostat VA4240970496 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va4240970496_current_humidity | tado Smart Radiator Thermostat VA4240970496 Current Humidity |  | homekit_controller | 
binary_sensor.va1628902912_batterij | Batterij |  | tado | 
binary_sensor.va1628902912_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.va1875317504_batterij | Batterij |  | tado | 
binary_sensor.va1875317504_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.va2446595328_batterij | Batterij |  | tado | 
binary_sensor.va2446595328_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.va2734626048_batterij | Batterij |  | tado | 
binary_sensor.va2734626048_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.va2801014016_batterij | Batterij |  | tado | 
binary_sensor.va2801014016_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.va4240970496_batterij | Batterij |  | tado | 
binary_sensor.va4240970496_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.slaapkamer_mapa_vermogen | Vermogen |  | tado | 
binary_sensor.slaapkamer_mapa_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.slaapkamer_mapa_overlay | Overlay |  | tado | 
binary_sensor.slaapkamer_mapa_raam | Raam |  | tado | 
binary_sensor.slaapkamer_mapa_vroege_start | Vroege start |  | tado | 
binary_sensor.slaapkamer_jolien_vermogen | Vermogen |  | tado | 
binary_sensor.slaapkamer_jolien_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.slaapkamer_jolien_overlay | Overlay |  | tado | 
binary_sensor.slaapkamer_jolien_raam | Raam |  | tado | 
binary_sensor.slaapkamer_jolien_vroege_start | Vroege start |  | tado | 
binary_sensor.badkamer_vermogen | Vermogen |  | tado | 
binary_sensor.badkamer_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.badkamer_overlay | Overlay |  | tado | 
binary_sensor.badkamer_raam | Raam |  | tado | 
binary_sensor.badkamer_vroege_start | Vroege start |  | tado | 
binary_sensor.slaapkamer_jan_vermogen | Vermogen |  | tado | 
binary_sensor.slaapkamer_jan_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.slaapkamer_jan_overlay | Overlay |  | tado | 
